r,z
0.44739130434782604,-0.29217391304347823
0.43826086956521737,-0.2830434782608695
0.42913043478260865,-0.27391304347826084
0.41999999999999993,-0.2647826086956521
0.41086956521739126,-0.25565217391304346
0.40173913043478254,-0.24652173913043476
0.3926086956521739,-0.23739130434782607
0.38347826086956516,-0.22826086956521738
0.3743478260869565,-0.21913043478260869
0.36521739130434777,-0.20999999999999996
0.3560869565217391,-0.20086956521739127
0.3469565217391304,-0.19173913043478258
0.3378260869565217,-0.18260869565217389
0.328695652173913,-0.1734782608695652
0.31956521739130433,-0.1643478260869565
0.3104347826086956,-0.1552173913043478
0.3104347826086956,-0.14608695652173911
0.30130434782608695,-0.13695652173913042
0.29217391304347823,-0.12782608695652173
0.2830434782608695,-0.11869565217391304
0.27391304347826084,-0.10956521739130434
0.2647826086956521,-0.10043478260869564
0.25565217391304346,-0.09130434782608694
0.24652173913043476,-0.08217391304347825
0.24652173913043476,-0.07304347826086956
0.23739130434782607,-0.06391304347826086
0.22826086956521738,-0.05478260869565217
0.22826086956521738,-0.04565217391304347
0.21913043478260869,-0.03652173913043478
0.21913043478260869,-0.027391304347826086
0.20999999999999996,-0.01826086956521739
0.20999999999999996,-0.009130434782608695
0.20999999999999996,0.0
